"Sr. No","Vertical","Service Line","Cluster","SubCluster","Account","Location","Block","Category","Frequency","Dwmsparameter","Formula","Uom","Ideal Direction","Expected Entry Date","Actual Entry Date","Numerator","Num1 Decription","Num1","Num2 Decription","Num2","Num3 Decription","Num3","Denominator","Deno1 Decription","Deno1","Deno2 Decription","Deno2","Deno3 Decription","Deno3","Achieved","Calculated Value","Target Achieved","Status"
1955,"MANUFACTURING","TRANSPORTATION","WEST",,"Cummins India","KOLHAPUR","NA","QUALITY","Daily","GPS Compliance","Total no of vehicle with wired GPS + Sim based tracking/Total Vehicle dispatched for IB or OB","No of Vehicles","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1956,"MANUFACTURING","TRANSPORTATION","WEST",,"Cummins India","PIRANGUT","NA","QUALITY","Daily","GPS Compliance","Total no of vehicle with wired GPS + Sim based tracking/Total Vehicle dispatched for IB or OB","No of Vehicles","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1957,"MANUFACTURING","TRANSPORTATION","WEST",,"CUMMINS-CTILPL-CES","PHALTAN","CTIPL - CES","QUALITY","Daily","GPS Compliance","Total no of vehicle with wired GPS + Sim based tracking/Total Vehicle dispatched for IB or OB","No of Vehicles","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1958,"MANUFACTURING","TRANSPORTATION","WEST",,"CUMMINS_CIL-IEBU","KOTHRUD","CIL-IEBU","QUALITY","Daily","GPS Compliance","Total no of vehicle with wired GPS + Sim based tracking/Total Vehicle dispatched for IB or OB","No of Vehicles","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1959,"MANUFACTURING","TRANSPORTATION","WEST",,"CUMMINS_CIL-IPDC","PHALTAN","CIL - IPDC","QUALITY","Daily","GPS Compliance","Total no of vehicle with wired GPS + Sim based tracking/Total Vehicle dispatched for IB or OB","No of Vehicles","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1960,"MANUFACTURING","STORE & LINE FEED","WEST",,"ALSTOM","MANEJA - BARODA","NA","DELIVERY","Daily","Material issue against transfer order","No, of 24 hrs. advance material available in kitting area as per transfer order/total Transfer order","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1961,"MANUFACTURING","TRANSPORTATION","WEST",,"MERCEDES BENZ INDIA PRIVATE LIMITED-TPT","URAN",,"QUALITY","Daily","LR entry in ShipX","100 % Lr entry in shipx before vehicle disaptch","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1962,"MANUFACTURING","TRANSPORTATION","WEST",,"THERMAX","CHINCHWAD","NA","QUALITY","Daily","LR entry in ShipX","100 % Lr entry in shipx before vehicle disaptch","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1963,"MANUFACTURING","TRANSPORTATION","SOUTH",,"BOSCH-TPT","BANGALORE",,"QUALITY","Daily","LR entry in ShipX","100 % Lr entry in shipx before vehicle disaptch","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1964,"MANUFACTURING","TRANSPORTATION","WEST",,"JBM AUTO LIMTED","CHAKAN","NA","QUALITY","Daily","LR entry in ShipX","100 % Lr entry in shipx before vehicle disaptch","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1965,"MANUFACTURING","TRANSPORTATION","WEST",,"BELDEN","PUNE","NA","QUALITY","Daily","LR entry in ShipX","100 % Lr entry in shipx before vehicle disaptch","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1966,"MANUFACTURING","TRANSPORTATION","WEST",,"RAYCHEM","HALOL","NA_HALOL","QUALITY","Daily","LR entry in ShipX","100 % Lr entry in shipx before vehicle disaptch","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1967,"CONSUMER","STORE & LINE FEED","SOUTH",,"Asian Paints","VISAKHAPATNAM","NA","PRODUCTIVITY","Daily","Manpower deployment","Total Manpower present/Total Agreed manpower","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1968,"MANUFACTURING","STORE & LINE FEED","NORTH",,"ASHOK LEYLAND","PANTHNAGAR","NA","PRODUCTIVITY","Daily","Manpower Placement (BA)","Total no. of Short Manpower/Total no of Plan Manpower","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1969,"CONSUMER","WAREHOUSE","EAST",,"MODENIK LIFESTYLE PVT LTD","KOLKATA","NA_KOLKATA","PRODUCTIVITY","Daily","Marketplace orders","Toal no of Market place Billing Pieces/Day","In Piece","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1970,"MANUFACTURING","TRANSPORTATION","WEST",,"CHEP INDIA PRIVATE LIMITED","PUNE",,"QUALITY","Daily","LR entry in ShipX","100 % Lr entry in shipx before vehicle disaptch","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1971,"MANUFACTURING","STORE & LINE FEED","WEST",,"ALSTOM TRANSPORTION LTD","SAVLI","NA_SAVLI","DELIVERY","Daily","Material issue against transfer order","No, of 24 hrs. advance material available in kitting area as per transfer order/total Transfer order","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1972,"MANUFACTURING","STORE & LINE FEED","WEST",,"ALSTOM","MANEJA - BARODA","NA","PRODUCTIVITY","Daily","Material issue via 57(F4)","No.of intimations closed/24 Hours intimation from SM via mail and closer within 24hrs from receipt","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1973,"MANUFACTURING","STORE & LINE FEED","WEST",,"ALSTOM TRANSPORTION LTD","SAVLI","NA_SAVLI","PRODUCTIVITY","Daily","Material issue via 57(F4)","No.of intimations closed/24 Hours intimation from SM via mail and closer within 24hrs from receipt","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1974,"MANUFACTURING","STORE & LINE FEED","WEST",,"ALSTOM","MANEJA - BARODA","NA","DELIVERY","Daily","Material replenishment compliance","No.of cases deleted from SAP with in 48hrs/total material replenished against MRF","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1975,"MANUFACTURING","STORE & LINE FEED","WEST",,"ALSTOM TRANSPORTION LTD","SAVLI","NA_SAVLI","DELIVERY","Daily","Material replenishment compliance","No.of cases deleted from SAP with in 48hrs/total material replenished against MRF","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1976,"MANUFACTURING","STORE & LINE FEED","SOUTH",,"CATERPILLAR INDIA PVT LTD - AXLE","CHENNAI","AXLE","PRODUCTIVITY","Daily","Material scrap/rework due to 
preservation & handling","Handling and storage damage/total inventory","INR","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1977,"MANUFACTURING","STORE & LINE FEED","SOUTH",,"CATERPILLAR INDIA PVT LTD - SFO","CHENNAI","NA","PRODUCTIVITY","Daily","Material scrap/rework due to 
preservation & handling","Handling and storage damage/total inventory","INR","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1978,"MANUFACTURING","WAREHOUSE","SOUTH",,"BOSCH-WH","CHENNAI",,"DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1979,"MANUFACTURING","TRANSPORTATION","WEST",,"MAHLE FILTER SYSTEMS INDIA PVT LTD","PUNE",,"QUALITY","Daily","LR entry in ShipX","100 % Lr entry in shipx before vehicle disaptch","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1980,"CONSUMER","TRANSPORTATION","NORTH",,"Dr. Reddys Laboratories","TEPLA","NA","QUALITY","Daily","LR Creation","No of LR generated from system/Total no of LR generated","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1981,"CONSUMER","TRANSPORTATION","NORTH",,"NILKAMAL LIMITED","GURGAON",,"QUALITY","Daily","LR Creation","No of LR generated from system/Total no of LR generated","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1982,"CONSUMER","TRANSPORTATION","NORTH",,"H&M RETAIL PVT LTD","GURGAON",,"QUALITY","Daily","LR Creation","No of LR generated from system/Total no of LR generated","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1983,"CONSUMER","TRANSPORTATION","WEST",,"HINDUSTAN UNILEVER LIMITED - TPT","NAGPUR",,"QUALITY","Daily","LR Creation","No of LR generated from system/Total no of LR generated","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1984,"CONSUMER","TRANSPORTATION","WEST",,"HUL","VAPI","NA","QUALITY","Daily","LR Creation","No of LR generated from system/Total no of LR generated","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1985,"CONSUMER","TRANSPORTATION","SOUTH",,"JOHNSON & JOHNSON - TPT","HYDERABAD","NA_HYDERABAD","QUALITY","Daily","LR Creation","No of LR generated from system/Total no of LR generated","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1986,"CONSUMER","TRANSPORTATION","NORTH",,"MARICO INDIA LIMITED -TPT","SONIPAT",,"QUALITY","Daily","LR Creation","No of LR generated from system/Total no of LR generated","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1987,"MANUFACTURING","TRANSPORTATION","NORTH",,"MAHLE FILTER SYSTEMS INDIA PVT LTD","KATHA BADDI","NA","QUALITY","Daily","LR entry in ShipX","100 % Lr entry in shipx before vehicle disaptch","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1988,"MANUFACTURING","TRANSPORTATION","SOUTH",,"MAHLE FILTER SYSTEMS INDIA PVT LTD","CHENNAI","NA","QUALITY","Daily","LR entry in ShipX","100 % Lr entry in shipx before vehicle disaptch","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1989,"MANUFACTURING","WAREHOUSE","SOUTH",,"BOSCH LTD","SECUNDERABAD",,"DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1990,"MANUFACTURING","TRANSPORTATION","NORTH",,"JOHNSON MATTHEY","MANESAR","NA","QUALITY","Daily","LR entry in ShipX","100 % Lr entry in shipx before vehicle disaptch","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1991,"MANUFACTURING","TRANSPORTATION","SOUTH",,"DANA ANAND INDIA PVT LTD","HOSUR","NA_HOSUR","QUALITY","Daily","LR entry in ShipX","100 % Lr entry in shipx before vehicle disaptch","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1992,"MANUFACTURING","TRANSPORTATION","WEST",,"DANA ANAND INDIA PVT LTD","SATARA","NA","QUALITY","Daily","LR entry in ShipX","100 % Lr entry in shipx before vehicle disaptch","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1993,"MANUFACTURING","TRANSPORTATION","WEST",,"DANA ANAND INDIA PVT LTD","CHAKAN","NA","QUALITY","Daily","LR entry in ShipX","100 % Lr entry in shipx before vehicle disaptch","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1994,"MANUFACTURING","TRANSPORTATION","NORTH",,"DANA ANAND INDIA PVT LTD","UDHAM SINGH NAGAR","NA_USN","QUALITY","Daily","LR entry in ShipX","100 % Lr entry in shipx before vehicle disaptch","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1995,"MANUFACTURING","TRANSPORTATION","NORTH",,"NEEL METALS PVT LTD_TP","HARIDWAR","NA_HARIDWAR","QUALITY","Daily","LR entry in ShipX","100 % Lr entry in shipx before vehicle disaptch","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1996,"MANUFACTURING","TRANSPORTATION","SOUTH",,"SCHLUMBERGER-TPT-BANGALORE","BANGALORE",,"QUALITY","Daily","LR entry in ShipX","100 % Lr entry in shipx before vehicle disaptch","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1997,"MANUFACTURING","TRANSPORTATION","WEST",,"MAGNA","PUNE","NA","QUALITY","Daily","LR entry in ShipX","100 % Lr entry in shipx before vehicle disaptch","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1998,"CONSUMER","WAREHOUSE","NORTH",,"FITRON INDUSTRIES INDIA PVT. LTD.","LUHARI",,"DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1999,"CONSUMER","STORE & LINE FEED","NORTH",,"GILLETTE","BADDI","NA_BADDI","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2000,"CONSUMER","STORE & LINE FEED","NORTH",,"GILLETTE INDIA LTD","BHIWADI","NA_BHIWADI","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2001,"CONSUMER","STORE & LINE FEED","NORTH",,"Proctor & Gamble Home products Ltd","KATHA BADDI","NA_BADDI","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2002,"CONSUMER","WAREHOUSE","NORTH",,"Dr. Reddys Laboratories","TEPLA","NA","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2003,"CONSUMER","STORE & LINE FEED","NORTH",,"ITC Food Haridwar","HARIDWAR NON M&M","NA","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2004,"CONSUMER","STORE & LINE FEED","NORTH",,"ITC PPD","HARIDWAR","NA","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2005,"CONSUMER","STORE & LINE FEED","NORTH",,"ITC Food Haridwar","HARIDWAR NON M&M","NA","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2006,"CONSUMER","STORE & LINE FEED","EAST",,"ITC LIMITED","PANCHLA","NA","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2007,"CONSUMER","STORE & LINE FEED","NORTH",,"ITC LIMITED","KAPURTHALA","NA","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2008,"MANUFACTURING","WAREHOUSE","SOUTH",,"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","BANGALORE","NA","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2009,"CONSUMER","WAREHOUSE","NORTH",,"LOREAL INDIA PRIVATE LIMITED","LUHARI","NA","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2010,"CONSUMER","WAREHOUSE","WEST",,"HINDUSTAN UNILEVER LIMITED - WH","NAGPUR",,"DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"43.000","PENDING"
2011,"CONSUMER","WAREHOUSE","WEST",,"HUL","VAPI","NA","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2012,"CONSUMER","WAREHOUSE","WEST",,"3M INDIA LTD","BHIWANDI","NA","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2013,"CONSUMER","WAREHOUSE","SOUTH",,"3M India Ltd.","BANGALORE","NA_BANGALORE","COST","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"99.000","PENDING"
2014,"CONSUMER","STORE & LINE FEED","WEST",,"ITC Tobacco Ranjangaon","PUNE","NA","COST","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2015,"CONSUMER","STORE & LINE FEED","WEST",,"3 M INDIA LTD","PUNE","NA","COST","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2016,"MANUFACTURING","STORE & LINE FEED","NORTH",,"GENERAL ELECTRIC- JVC SHOP","Marhowrah Patna","JVC Shop","DELIVERY","Daily","Milk Run Trips","Vehicle must complete 3h3=9 trips in a day and total 54 Trips in a week, short trip in a particular day to be made up within a week.","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2017,"MANUFACTURING","STORE & LINE FEED","SOUTH",,"ABB INDIA","BANGALORE","POLES","COST","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2018,"MANUFACTURING","STORE & LINE FEED","NORTH",,"GENERAL ELECTRIC- JVC SHOP","Marhowrah Patna","JVC Shop","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2019,"MANUFACTURING","STORE & LINE FEED","NORTH",,"GENERAL ELECTRIC- JVC SHOP","Marhowrah Patna","JVC Shop","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2020,"MANUFACTURING","STORE & LINE FEED","EAST",,"ALSTOM LTD","DHULAGORI",,"DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2021,"MANUFACTURING","WAREHOUSE","WEST",,"SMRC - WH","NASHIK","NA-NASHIK","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2022,"MANUFACTURING","WAREHOUSE","NORTH",,"NEEL METALS PVT LTD_WH","HARIDWAR","NA_HARIDWAR","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2023,"MANUFACTURING","STORE & LINE FEED","WEST",,"Ashok Leyland","BHANDARA","NA","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2024,"MANUFACTURING","STORE & LINE FEED","NORTH",,"ASHOK LEYLAND","PANTHNAGAR","NA","COST","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2025,"MANUFACTURING","STORE & LINE FEED","SOUTH",,"ABB INDIA","BANGALORE","TRACTION","COST","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2026,"MANUFACTURING","STORE & LINE FEED","SOUTH",,"ABB INDIA","BANGALORE","LVD/MVD","COST","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2027,"MANUFACTURING","TRANSPORTATION","WEST",,"CUMMINS_CGTIPL-AHMEDNAGAR","PHALTAN","CGTIPL-AHMEDNAGAR","QUALITY","Daily","LR Creation","No of LR generated from system/Total no of LR generated","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2028,"MANUFACTURING","STORE & LINE FEED","SOUTH",,"ABB INDIA","BANGALORE","SMART POWER","PRODUCTIVITY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2029,"MANUFACTURING","WAREHOUSE","NORTH",,"CUMMINS-CTT","PANTNAGAR",,"DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2030,"MANUFACTURING","WAREHOUSE","NORTH",,"CUMMINS-CES","PANTNAGAR","NA_PANTNAGAR","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2031,"MANUFACTURING","WAREHOUSE","WEST",,"SEIPL","VADODARA","NA_VADODARA","COST","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2032,"MANUFACTURING","STORE & LINE FEED","WEST",,"CUMMINS TURBO TECHNOLOGIES","PITHAMPUR","NA","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2033,"MANUFACTURING","WAREHOUSE","WEST",,"CUMMINS-AHMEDNGAR","AHMEDNGAR",,"DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2034,"MANUFACTURING","STORE & LINE FEED","WEST",,"SKODA AUTO VOLKSWAGEN INDIA PRIVATE LIMITED","PUNE","NA","DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2035,"MANUFACTURING","STORE & LINE FEED","WEST",,"SAVW SUPERMARKET SEQUENCING","CHAKAN",,"DELIVERY","Daily","MHEs Uptime (Battery / Diesel/ Electric/CNG Operated Equipment)","Total Time of MHE is available for operation (mins)/Total time Available in shift (mins)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2036,"CONSUMER","WAREHOUSE","SOUTH",,"JOHNSON & JOHNSON - WH","HYDERABAD","NA_HYDERABAD","QUALITY","Daily","Inventory Accuracy","Total no of location having correct SKU/Total no of unique location counted","Percentage","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
