"Sr. No","Vertical","Service Line","Cluster","SubCluster","Account","Location","Block","Category","Frequency","Dwmsparameter","Formula","Uom","Ideal Direction","Expected Entry Date","Actual Entry Date","Numerator","Num1 Decription","Num1","Num2 Decription","Num2","Num3 Decription","Num3","Denominator","Deno1 Decription","Deno1","Deno2 Decription","Deno2","Deno3 Decription","Deno3","Achieved","Calculated Value","Target Achieved","Status"
72,"M&M AFS","TRANSPORTATION","NORTH",,"FES OB_ Jaipur_ TPT","JAIPUR","NA_3","DELIVERY","Daily","Vehicle Transit Time (IB/IUTN/CD)","Vehicle Transit Time (IB/IUTN/CD) - (On Time + Before Time)/Total no of Delivery","Percentage","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
73,"M&M AFS","TRANSPORTATION","CENTRAL",,"FES OB_ Nagpur_ TPT","NAGPUR","NA","DELIVERY","Daily","Vehicle Transit Time (IB/IUTN/CD)","Vehicle Transit Time (IB/IUTN/CD) - (On Time + Before Time)/Total no of Delivery","Percentage","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
74,"M&M AFS","TRANSPORTATION","WEST1",,"FES OB_ Rajkot_ TPT","RAJKOT","NA","DELIVERY","Daily","Vehicle Transit Time (IB/IUTN/CD)","Vehicle Transit Time (IB/IUTN/CD) - (On Time + Before Time)/Total no of Delivery","Percentage","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
75,"M&M AFS","TRANSPORTATION","NORTH",,"FES OB_ Rudrapur_ TPT","RUDRAPUR","NA","DELIVERY","Daily","Vehicle Transit Time (IB/IUTN/CD)","Vehicle Transit Time (IB/IUTN/CD) - (On Time + Before Time)/Total no of Delivery","Percentage","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
76,"M&M AFS","TRANSPORTATION","SOUTH",,"FES OB_ Zaheerabad_ TPT","ZAHEERABAD","NA1_Z","DELIVERY","Daily","Vehicle Transit Time (IB/IUTN/CD)","Vehicle Transit Time (IB/IUTN/CD) - (On Time + Before Time)/Total no of Delivery","Percentage","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
77,"M&M AFS","TRANSPORTATION","SOUTH",,"Mahindra & Mahindra Plant_ Zaheerabad","ZAHEERABAD","NA1_Z","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
78,"M&M AFS","WAREHOUSE","NORTH",,"Farm Division RSO_ Varanasi","VARANASI","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
79,"M&M AFS","WAREHOUSE","SOUTH",,"Farm Division RSO_ Zaheerabad","ZAHEERABAD","NA1_Z","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
80,"M&M AFS","TRANSPORTATION","WEST1",,"FES OB_ Gromax_ TPT","VADODARA","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"1.000","PENDING"
81,"M&M AFS","TRANSPORTATION","NORTH",,"FES OB_ Jaipur_ TPT","JAIPUR","NA_3","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
